UNITTYPE,DIAM,OWN,BOTNAME,LONGITUDE,LATITUDE
DECID,6,MISS,NORWAY MAPLE,-79.636795018111,43.5288466483124
MULTI,11,MISS,RUSSIAN OLIVE,-79.6424004647659,43.5288469046861
DECID,10,PEEL,NORWAY MAPLE,-79.6541579506012,43.5288483466801
DECID,6,MISS,NORWAY MAPLE,-79.6366005612672,43.5288485612092
DECID,22,MISS,NORWAY MAPLE,-79.6643044076489,43.5288512866524
DECID,55,HYDRO,ASH SPP.,-79.6586296506471,43.5288516092554
DECID,22,MISS,NORWAY MAPLE,-79.6681577670234,43.5288522147233
DECID,39,MISS,NORWAY MAPLE,-79.6645078188548,43.5288529428275
DECID,8,MISS,RED OAK,-79.6245669526046,43.5288542363463
DECID,23,MISS,NORWAY MAPLE,-79.6395533909478,43.5288543867842
DECID,52,MISS,SILVER MAPLE,-79.639826747891,43.5288548483296
DECID,60,MISS,GREEN ASH,-79.6275931431784,43.528855581038
CONFIR,7,MISS,COLORADO BLUE SPRUCE,-79.6588362207621,43.5288556060367
MULTI,9,MISS,RUSSIAN OLIVE,-79.6423852504674,43.5288576189891
DECID,46,MISS,HONEY LOCUST,-79.6558184537137,43.528859329695
DECID,55,HYDRO,ASH SPP.,-79.6585862620189,43.528860792633
DECID,6,MISS,SKYLINE LOCUST,-79.6481469258257,43.5288610694754
CONFIR,12,MISS,AUSTRIAN PINE,-79.6746960845331,43.5288682343786
CONFIR,32,MISS,SCOTCH PINE,-79.6335495106719,43.5288684976685
DECID,20,MISS,EASTERN HEMLOCK,-79.6275456657402,43.5288700479193
MULTI,11,MISS,RUSSIAN OLIVE,-79.6423683793552,43.5288704746024
DECID,41,MISS,HONEY LOCUST,-79.6676659459807,43.5288705247562
DECID,40,MISS,HONEY LOCUST,-79.6413816471722,43.5288731583999
DECID,71,MISS,RED OAK,-79.632109721267,43.5288767600496
DECID,5,MISS,FLOWERING CRAB APPLE,-79.6588790717968,43.5288820406342
MULTI,9,MISS,RUSSIAN OLIVE,-79.6423560838091,43.528883474595
CONFIR,8,MISS,COLORADO BLUE SPRUCE,-79.658800074882,43.5288839951646
DECID,6,MISS,FLOWERING CRAB APPLE,-79.6590735051017,43.5288867526003
DECID,30,HYDRO,ASH SPP.,-79.6584184567238,43.5288880822361
DECID,6,MISS,IVORY SILK JAPANESE LILAC,-79.6694808032493,43.5288913018516
DECID,16,MISS,FLOWERING CRAB APPLE,-79.6398834617079,43.5288918097211
DECID,12,PEEL,NORWAY MAPLE,-79.6542296009548,43.5288929502311
DECID,28,MISS,HONEY LOCUST,-79.6610247609295,43.5288951273783
MULTI,9,MISS,RUSSIAN OLIVE,-79.6423423278658,43.5288953767474
DECID,24,HYDRO,ASH SPP.,-79.6584084854242,43.5288972656081
DECID,6,MISS,ACCOLADE ELM,-79.6680055311654,43.5288981628762
DECID,27,MISS,NORWAY MAPLE,-79.662366642455,43.5288988612658
CONFIR,50,MISS,COLORADO GREEN SPRUCE,-79.6256867409353,43.5288995786013
DECID,32,MISS,NORWAY MAPLE,-79.6414862588532,43.5289043853563
CONFIR,8,MISS,COLORADO BLUE SPRUCE,-79.6587758419304,43.528905320751
DECID,4,MISS,NORWAY MAPLE,-79.6365387386748,43.5289066207619
DECID,6,MISS,SKYLINE LOCUST,-79.6396373790787,43.5289097054928
DECID,23,MISS,WHITE BIRCH,-79.6346709937154,43.5289103505824
DECID,15,MISS,FLOWERING CRAB APPLE,-79.6588487088243,43.5289119382799
DECID,39,MISS,NORWAY SCHWENDLER MAPLE,-79.6401501858977,43.5289120906832
DECID,19,MISS,NORWAY MAPLE,-79.651416043737,43.5289123776053
MULTI,11,MISS,RUSSIAN OLIVE,-79.6423284507503,43.5289126799316
DECID,5,MISS,FLOWERING CRAB APPLE,-79.6590375289076,43.5289130728452
DECID,66,MISS,RED OAK,-79.6259535883249,43.5289142215815
DECID,28,MISS,LINDEN,-79.6640139138575,43.5289151529255
DECID,23,MISS,WHITE BIRCH,-79.6247369393127,43.5289162489018
DECID,8,MISS,FLOWERING CHERRY,-79.6276564881606,43.5289163089277
DECID,36,MISS,HONEY LOCUST,-79.6413060383879,43.5289171003045
DECID,11,MISS,HORSE CHESTNUT,-79.6316868002745,43.5289177997332
DECID,11,MISS,ENGLISH OAK,-79.6512109781057,43.5289183321102
DECID,13,MISS,WHITE BIRCH,-79.6273354933777,43.5289210088943
DECID,57,MISS,HONEY LOCUST,-79.6559082434048,43.5289230541424
DECID,22,MISS,SILVER MAPLE,-79.6675219700707,43.5289235017082
DECID,39,MISS,SILVER MAPLE,-79.6803879380339,43.5289242649912
MULTI,9,MISS,RUSSIAN OLIVE,-79.6423129895158,43.5289288838056
DECID,29,MISS,NORWAY MAPLE,-79.6641917227893,43.5289329880036
DECID,19,PEEL,HONEY LOCUST,-79.6542898852391,43.5289366996089
DECID,19,MISS,SUGAR MAPLE,-79.6638300323295,43.5289369547837
DECID,24,MISS,MISC POPLAR,-79.6276089404797,43.5289393289037
DECID,15,MISS,FLOWERING CRAB APPLE,-79.6588123753582,43.5289432065303
MULTI,11,MISS,RUSSIAN OLIVE,-79.6422961915998,43.5289439913076
DECID,19,MISS,NORWAY MAPLE,-79.6622100362581,43.5289463712961
MULTI,20,MISS,FLOWERING CHERRY,-79.6273554466388,43.5289470002614
DECID,14,MISS,NORWAY MAPLE,-79.6275733141853,43.528949616095
DECID,6,MISS,NATIVE HACKBERRY,-79.6674566341694,43.5289513732543
DECID,5,MISS,FLOWERING CRAB APPLE,-79.6590111749965,43.5289519316439
DECID,40,MISS,LINDEN,-79.6319090283289,43.5289519739091
DECID,6,MISS,SKYLINE LOCUST,-79.6482797608714,43.5289530416282
DECID,5,MISS,IVORY SILK JAPANESE LILAC,-79.6695626499623,43.5289567239663
MULTI,15,MISS,BLACK CHERRY,-79.6273140055484,43.5289572175507
MULTI,10,MISS,RUSSIAN OLIVE,-79.6422808803213,43.5289590264225
DECID,36,MISS,NORWAY MAPLE,-79.664362656259,43.5289595665174
DECID,7,MISS,FLOWERING CRAB APPLE,-79.6587469157614,43.5289597264439
DECID,25,MISS,HONEY LOCUST,-79.6562094252004,43.5289634217916
CONFIR,50,MISS,COLORADO GREEN SPRUCE,-79.6255401192538,43.5289639060302
DECID,18,MISS,FLOWERING CRAB APPLE,-79.6587781809693,43.5289672965665
MULTI,35,MISS,RED MAPLE,-79.6273256395158,43.528968072149
DECID,42,MISS,GREEN ASH,-79.681459659262,43.5289683258088
DECID,20,PEEL,HONEY LOCUST,-79.6543492763082,43.528970533905
MULTI,11,MISS,RUSSIAN OLIVE,-79.6422715539917,43.5289720616707
CONFIR,24,MISS,NORWAY SPRUCE,-79.6752789925428,43.5289739460248
DECID,28,MISS,LINDEN,-79.6610198079731,43.5289847504436
DECID,13,MISS,GLOBE MAPLE,-79.6624843457088,43.5289877585547
DECID,85,HYDRO,ASH SPP.,-79.658480709973,43.5289898808137
DECID,48,MISS,SILVER MAPLE,-79.6673031991776,43.528989923109
DECID,23,MISS,NORWAY MAPLE,-79.6514268102794,43.5289901201527
MULTI,9,MISS,RUSSIAN OLIVE,-79.6422515661407,43.5289914532571
DECID,45,MISS,GREEN ASH,-79.6639033073808,43.5289923762176
DECID,7,MISS,FLOWERING CRAB APPLE,-79.6587184364371,43.5289939681343
MULTI,18,MISS,FLOWERING CRAB APPLE,-79.6587458703077,43.5289957306732
DECID,43,MISS,HONEY LOCUST,-79.6412775305882,43.5289962678581
DECID,5,MISS,ROYAL RED MAPLE,-79.6778605520899,43.5289979795847
DECID,4,MISS,MULBERRY,-79.6254239471601,43.5290006866481
DECID,35,MISS,LINDEN,-79.6315591627492,43.529002081144
DECID,39,MISS,HONEY LOCUST,-79.6562642535553,43.5290021537268
DECID,11,MISS,NORWAY MAPLE,-79.6676505429792,43.5290024357608
DECID,5,MISS,IVORY SILK JAPANESE LILAC,-79.6608575361972,43.5290030188951
MULTI,88,MISS,RUSSIAN OLIVE,-79.6422391978395,43.529007693856
DECID,5,MISS,IVORY SILK JAPANESE LILAC,-79.6696353612465,43.5290098841387
CONFIR,30,MISS,SCOTCH PINE,-79.6347580886712,43.5290102559935
DECID,11,MISS,ENGLISH OAK,-79.6512235266188,43.5290105022971
MULTI,22,MISS,AUSTRIAN PINE,-79.6745548523068,43.529010933112
DECID,36,MISS,NORWAY MAPLE,-79.6251198430002,43.5290135971524
CONFIR,24,MISS,NORWAY SPRUCE,-79.6752357933768,43.5290139639916
DECID,32,MISS,SILVER MAPLE,-79.6672078526098,43.529015013533
DECID,13,MISS,WEEPING MULBERRY,-79.6318235501974,43.5290161407243
MULTI,11,MISS,RUSSIAN OLIVE,-79.6422283383948,43.5290228718803
DECID,5,MISS,FLOWERING CRAB APPLE,-79.6589246835258,43.5290240305118
MULTI,6,MISS,SAUCER MAGNOLIA,-79.6336037405129,43.5290262677562
CONFIR,48,MISS,AUSTRIAN PINE,-79.6813879834347,43.5290318785921
CONFIR,28,MISS,WHITE SPRUCE,-79.6274574609612,43.5290324136517
DECID,4,MISS,NORWAY MAPLE,-79.6318271225241,43.5290332913044
MULTI,9,MISS,RUSSIAN OLIVE,-79.6422055266703,43.5290357469515
DECID,32,MISS,HONEY LOCUST,-79.6560921259955,43.5290406488775
DECID,25,MISS,LONDON PLANE,-79.6671025567931,43.5290423289454
CONFIR,18,MISS,WHITE SPRUCE,-79.6274354476807,43.5290426841627
DECID,15,MISS,NORWAY MAPLE,-79.6675397082423,43.5290452641579
DECID,6,MISS,ROYAL RED MAPLE,-79.6680091289945,43.5290495641497
CONFIR,50,MISS,COLORADO GREEN SPRUCE,-79.6252933827426,43.5290499898784
DECID,19,MISS,GLOBE MAPLE,-79.6625856148855,43.5290531427749
CONFIR,29,MISS,NORWAY SPRUCE,-79.6751946954352,43.5290540963336
MULTI,11,MISS,RUSSIAN OLIVE,-79.6421975637617,43.5290542008598
DECID,21,MISS,HONEY LOCUST,-79.6563441467368,43.5290545963892
DECID,30,MISS,SILVER MAPLE,-79.6802626552808,43.5290568901991
DECID,44,MISS,GREEN ASH,-79.6661683704433,43.5290583551631
DECID,26,MISS,LINDEN,-79.6745091225329,43.5290591152174
DECID,70,MISS,RED OAK,-79.6274382376612,43.5290615362671
MULTI,9,MISS,RUSSIAN OLIVE,-79.6421719059619,43.5290615496061
CONFIR,20,MISS,WHITE SPRUCE,-79.6274853743398,43.5290621022164
DECID,15,MISS,FLOWERING CRAB APPLE,-79.6669349050443,43.5290633345791
DECID,7,MISS,NORWAY MAPLE,-79.6314398382304,43.5290635014303
DECID,19,MISS,FLOWERING CRAB APPLE,-79.6609187902447,43.5290702769055
DECID,6,MISS,FLOWERING CRAB APPLE,-79.6588641030362,43.529071671957
DECID,27,MISS,SILVER MAPLE,-79.6806502949464,43.5290717193962
CONFIR,28,MISS,SCOTCH PINE,-79.6348124805575,43.5290732140708
DECID,33,MISS,HONEY LOCUST,-79.6413777733896,43.5290732739591
DECID,22,MISS,NORWAY MAPLE,-79.6514406431124,43.5290746519621
DECID,30,MISS,RED OAK,-79.6274194728884,43.5290758976319
DECID,6,MISS,IVORY SILK JAPANESE LILAC,-79.6697181367101,43.5290781082286
MULTI,9,MISS,RUSSIAN OLIVE,-79.6421579782661,43.5290811031984
DECID,8,MISS,HONEY LOCUST,-79.6663531254495,43.5290811301521
DECID,14,MISS,FLOWERING CRAB APPLE,-79.6667154659136,43.5290813949068
DECID,6,MISS,COLUMNAR NORWAY MAPLE,-79.6664812322895,43.5290856860057
DECID,19,MISS,LINDEN,-79.6666204858859,43.5290898314832
DECID,24,MISS,DEADOO,-79.67514711315,43.5290908219852
MULTI,9,MISS,RUSSIAN OLIVE,-79.6421531077995,43.5290941013218
DECID,13,MISS,ENGLISH OAK,-79.6512383308722,43.5290958559627
DECID,23,MISS,LINDEN,-79.6611538414243,43.5290961706
DECID,10,MISS,FLOWERING CRAB APPLE,-79.6673717657228,43.5290963408223
DECID,17,MISS,NORWAY SCHWENDLER MAPLE,-79.6626422038168,43.5290963943143
